,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
363,20MICRONS,EQ,28,28.75,27.15,27.55,27.35,27.75,26191,739309.35,02-02-2016,200,INE144J01027
364,20MICRONS,EQ,27.85,29.5,27.85,28.6,28.5,28.5,10367,298867.5,02-06-2016,132,INE144J01027
365,20MICRONS,EQ,29.9,30.25,29.2,29.3,29.35,29.9,10631,315392.55,17-06-2016,80,INE144J01027
366,20MICRONS,EQ,41.5,41.5,36.7,40,40.2,41.75,245622,9839859.05,02-11-2016,1702,INE144J01027
367,20MICRONS,EQ,35.2,36.65,33.75,34,34.2,36.15,166923,5780862.7,17-11-2016,996,INE144J01027
368,20MICRONS,EQ,30.35,30.7,29,29.15,29,29.25,20869,618468.05,25-05-2016,213,INE144J01027
369,20MICRONS,EQ,28.65,29.2,28.1,28.3,28.4,28.25,17657,503238.8,30-05-2016,174,INE144J01027
370,20MICRONS,EQ,38.9,39.75,33.05,35.15,35.1,38.25,232740,8539522.55,29-09-2016,1013,INE144J01027
371,20MICRONS,EQ,37.4,37.5,36.3,36.75,36.45,37,170085,6245248.1,21-09-2016,471,INE144J01027
372,20MICRONS,EQ,26.7,27.6,26.7,27.15,27.1,27,38434,1042794.65,02-03-2016,101,INE144J01027
373,20MICRONS,EQ,29,30,28.4,28.85,28.5,28.65,10153,294567.05,17-03-2016,109,INE144J01027
374,20MICRONS,EQ,31.2,33.8,31,32.75,32.65,33.5,62719,2043154,14-01-2016,552,INE144J01027
375,20MICRONS,EQ,36,36.3,34.6,35.2,35,36.5,73518,2592129.15,01-01-2016,610,INE144J01027
376,20MICRONS,EQ,28.8,29.15,28.05,28.55,28.4,28.45,16318,466192.6,22-07-2016,205,INE144J01027
377,20MICRONS,EQ,38.7,38.7,37.25,37.7,37.8,38.7,107618,4091493.65,29-08-2016,685,INE144J01027
378,20MICRONS,EQ,42.3,42.8,40.4,40.9,40.75,40.8,202959,8399001.4,10-11-2016,852,INE144J01027
379,20MICRONS,EQ,28.75,30,28,28.4,28.4,27.9,25806,742945.9,10-06-2016,345,INE144J01027
380,20MICRONS,EQ,26,26.6,26,26.5,26.6,26.1,9291,245443.4,05-02-2016,82,INE144J01027
381,20MICRONS,EQ,26,28.75,26,27.6,27.75,26.6,65049,1785609.85,10-02-2016,330,INE144J01027
382,20MICRONS,EQ,33.8,35.5,33.8,35,34.95,34,29165,1018900.9,15-12-2016,168,INE144J01027
383,20MICRONS,EQ,39,39.5,38.25,38.7,38.7,38.6,82097,3187235.65,26-08-2016,438,INE144J01027
